start_time,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,avgTemp,value,bike_rides_daily
2022-02-08,6036.218650479628,6034.507895884805,40.740259202750636,-73.97723592447456,40.740170718389884,-73.97748060850043,4.1,1.0,51811.0
2022-02-09,6046.5322183451435,6042.490557066676,40.74067199189179,-73.97719170323361,40.74052557127649,-73.97738986410175,2.8,1.0,55885.0
2022-02-10,6037.695575158215,6030.207985011816,40.74035044070673,-73.97742079134107,40.740077110132624,-73.97761408855082,6.3,1.0,61783.0
2022-02-11,6029.716981986874,6022.090462359586,40.740180865033466,-73.9769878447237,40.73990013982992,-73.97720646622739,8.6,1.0,64453.0
2022-02-12,5977.3995185569875,5962.6157725956045,40.73851710375145,-73.97684298585706,40.73796510738248,-73.9773931465238,11.8,1.0,68357.0
2022-02-13,5996.514989916876,5985.553122970979,40.7391468086752,-73.97599365708345,40.73878226368093,-73.97581424961008,2.8,1.0,20331.0
2022-02-14,6034.794343327764,6031.255040595597,40.74024939470659,-73.97691456466077,40.74009484245415,-73.97724275011369,-4.3,1.0,34119.0
2022-02-15,6057.674147317459,6054.657359632439,40.74101233746753,-73.97724758845119,40.74091341107887,-73.97719678999756,-4.7,1.0,40484.0
2022-02-16,6052.013357189451,6043.7205138479885,40.740865238596335,-73.97727408974127,40.74056097758,-73.97722966419825,1.6,1.0,53655.0
2022-02-17,6053.831628317796,6047.43634285375,40.740934016383044,-73.9771591846317,40.74069341269572,-73.97740357018844,11.6,1.0,67364.0
2022-02-18,6041.493558099453,6034.962508457987,40.74065161386757,-73.97632681243633,40.74037825057021,-73.97667138104978,9.9,1.0,46997.0
2022-02-19,5998.92578919753,5992.6763793209875,40.739157822515146,-73.97615518922716,40.73892541214314,-73.97645353758377,0.1,1.0,32400.0
2022-02-20,5992.8832936853305,5982.37917794971,40.73898545717656,-73.97623929225718,40.73861822257465,-73.97641768811492,-2.6,1.0,31023.0
2022-02-21,6017.8099818428545,6011.107432912844,40.73979488369112,-73.97668701922453,40.73956485126455,-73.97683614230488,4.1,1.0,52321.0
2022-02-22,6041.06758501441,6043.516320469891,40.74055204293278,-73.97677873904667,40.74058225089519,-73.97698828167695,5.6,1.0,36435.0
2022-02-23,6045.679054692571,6044.055521202881,40.7405987903267,-73.97716755639283,40.74053341780312,-73.97737253607069,14.4,1.0,66243.0
2022-02-24,6055.698880702304,6054.967132586787,40.740835396115955,-73.97728347302194,40.7407883692329,-73.97749529358262,1.1,1.0,44653.0
2022-02-25,6009.17396923685,6002.040179189038,40.73923079996828,-73.97719235917745,40.7390340609636,-73.97715779416986,0.8,1.0,30362.0
2022-02-26,5940.790575835227,5935.041428951313,40.73715774319092,-73.97573590620998,40.736950546531986,-73.97607992394522,-1.1,1.0,41366.0
2022-02-27,5977.758515884528,5969.544128395293,40.73841972631748,-73.97597646807007,40.73812119374807,-73.97608989927097,2.4,1.0,42746.0
2022-02-28,6045.374092465002,6044.117327247593,40.74061920935843,-73.97671873910046,40.74055397954293,-73.97674435975813,0.8,1.0,45574.0
2022-03-01,6032.851954456153,6032.397044492471,40.740162410549935,-73.97758205163596,40.740151003815114,-73.97756232214347,2.6,1.0,55990.0
2022-03-02,6028.711500029819,6026.5504713337805,40.74006541950965,-73.9771642031753,40.73999033910038,-73.97717636734626,7.7,1.0,67072.0
2022-03-03,6031.375978794885,6029.0444496224845,40.74013040792389,-73.97711908745747,40.740017735808415,-73.97745979789116,5.6,1.0,55364.0
2022-03-04,6029.023843660668,6022.529373288775,40.7401171039005,-73.97655552448987,40.73987655705462,-73.97679342886856,-1.9,1.0,49674.0
2022-03-05,5977.833069196864,5967.227807922607,40.73840792949807,-73.97632549878509,40.73801556701051,-73.97658664971625,3.1,1.0,51274.0
2022-03-06,5983.281351996328,5969.902259284416,40.73875320405144,-73.9761332075351,40.73830089447906,-73.97615372533892,9.6,1.0,54475.0
2022-03-07,6024.294880127392,6025.9915609425225,40.740026918908924,-73.97662218871822,40.740085387899136,-73.97678691406082,18.2,1.0,67822.0
2022-03-08,6041.910022052314,6038.363572336966,40.74045904956619,-73.97716275411918,40.74032573251124,-73.97728987602493,8.7,1.0,62126.0
2022-03-09,6017.828688168212,6014.161296071861,40.73969792753836,-73.97684100981505,40.73956399345375,-73.97665444376416,3.2,1.0,28060.0
2022-03-10,6034.423044143489,6030.3218410447535,40.74016262648381,-73.97735490058437,40.740026337045386,-73.97749133828997,4.0,1.0,66012.0
2022-03-11,6015.945595898324,6010.343805135908,40.73971356266753,-73.97662983038965,40.739509184158585,-73.97682053304479,7.2,1.0,69240.0
2022-03-12,5970.497544307676,5966.818996884417,40.738181934671175,-73.97577654570094,40.738101532190896,-73.97550438533284,5.1,1.0,19579.0
2022-03-13,5959.803128674918,5951.651987200312,40.7378688131627,-73.97587412328858,40.73754455979681,-73.97629429627018,-2.3,1.0,30783.0
2022-03-14,6044.810539800167,6039.918805998512,40.74075214186245,-73.97643364940042,40.740586864553876,-73.97640483172172,5.3,1.0,63153.0
2022-03-15,6020.389864995056,6014.550682665246,40.73983272849228,-73.97699060240085,40.73963972232825,-73.97697246173072,11.6,1.0,78886.0
2022-03-16,6032.161462695371,6026.299913123617,40.74030259949174,-73.97711807203225,40.74009108842628,-73.97728011050403,13.6,1.0,81385.0
